Property_Type,BHK,Location,Area,Status,Furnishing,Facing,Transaction,Price_Per_Sqft,Current_Floor,Total_Floors,Total_Price
House,2,Saket,2900,Ready to Move,Semi-Furnished,East,Resale,5500,,,15950000
Villa,4,Chilkur Balaji Temple Road,2600,Ready to Move,Furnished,East,Resale,16154,,,42000400
Apartment,2,SR Naik Nagar,1000,Ready to Move,Semi-Furnished,East,Resale,6818,1,4,6818000
Apartment,3,Narsingi,1400,Ready to Move,Furnished,North - East,Resale,13485,17,18,18879000
Apartment,2,Gachibowli,1150,Unknown,Unfurnished,Unknown,Resale,10817,19,22,12439550
Apartment,3,Tellapur,1800,Ready to Move,Unfurnished,East,Resale,11682,18,35,21027600
Apartment,2,Dammaiguda,1050,Ready to Move,Furnished,West,Resale,3620,2,4,3801000
Villa,4,Narsingi,3135,Ready to Move,Furnished,East,Resale,27113,,,84999255
Apartment,2,Kondapur,1201,Ready to Move,Unfurnished,West,Resale,10368,7,31,12451968
Apartment,3,Gajularamaram,1350,Ready to Move,Semi-Furnished,East,Resale,4915,2,9,6635250
Apartment,2,Bahadurpally,1100,Ready to Move,Semi-Furnished,North,Resale,6852,3,6,7537200
Apartment,3,Nizampet Road,1114,Ready to Move,Semi-Furnished,East,Resale,6667,4,5,7427038
Apartment,3,Bachupally,1353,Ready to Move,Unfurnished,West,Resale,7857,28,33,10630521
Apartment,3,Nacharam,1300,Ready to Move,Semi-Furnished,East,Resale,8462,2,12,11000600
